StartDateTime,UserId,CallType,disconnectType,Total_Handle_Time,Total_Hold_Time,Total_Talk_Time
15:04.5,1de5336c-7f42-4615-8c87-4ac11784ee8f,Inbound_Queue,peer,58.488,0,44.668
15:11.8,809f8e6c-6117-4ab2-9100-d3a22f659893,Inbound_Queue,peer,701.303,68.843,622.611
15:32.7,5e6b0aa5-78f6-475d-897e-fe2036aa4250,Inbound_Queue,transfer,1052.576,78.001,794.575
15:40.3,80fbca02-82b9-4150-a5b7-245cd4a32edb,Inbound_Queue,peer,269.157,0,89.157
15:49.8,9aed926c-d44e-4772-84f2-8dd68b5f85a5,Inbound_Queue,transfer,695.092,0,515.092
15:58.6,7e343f6a-ea29-4708-b2ba-767bf4520733,Inbound_Queue,peer,2874.814,0,2872.239
16:19.8,2adad817-f8f6-4b84-876b-7f2153a1232e,Inbound_Queue,peer,830.488,342.651,307.837
16:23.7,991de021-0e54-4cff-a83d-793551c930d7,Inbound_Queue,peer,534.547,0,354.547
16:37.1,ffbaedee-9796-469c-89b4-fd22cec5fff7,Inbound_Queue,peer,399.263,0,271.263
16:50.9,e9d88d3f-b816-407b-be29-e652e1ac8720,Inbound_Queue,client,464.143,0,460.508
17:10.9,c9167e6d-1661-460e-bca6-da35ecb2866d,Inbound_Queue,peer,241.472,0,61.472
17:30.1,7692606e-6ff5-4d86-9986-3eafe5513617,Inbound_Queue,client,231.035,0,51.035
17:33.7,8c224214-2788-46f3-9a8d-72879a77856b,Inbound_Queue,client,444.943,0,264.943
17:46.9,abe98fb6-ba3f-4079-9f33-fde23a046243,Inbound_Queue,peer,899.405,0,719.405
17:48.1,e0e99868-ae4e-4d91-a609-ad1f37391890,Inbound_Queue,peer,1467.184,123.398,1258.933
18:06.6,4ff996ef-9f41-4fc7-9894-333cd0364bcc,Inbound_Queue,transfer,223.855,0,43.855
18:09.0,38208d11-2452-41a2-b909-540e3c6483e1,Inbound_Queue,peer,965.845,385.578,487.456
18:14.2,2fdbdbbd-bf46-4ff2-a8d1-082d1edfef81,Inbound_Queue,endpoint,400.439,0,220.439
19:10.8,290a5fa8-690f-4518-bb22-96dcff43a265,Inbound_Queue,peer,1480.92,319.516,982.891
19:12.8,81ef18e0-3c16-4534-9860-b336f2338e95,Inbound_Queue,peer,2323.868,710.219,1433.649
19:30.6,6607042e-58ad-440e-a713-936f3bd890f6,Inbound_Queue,peer,804.009,0,624.009
19:39.8,1a1b0387-e91a-432b-afee-1421669d3709,Inbound_Queue,peer,556.416,0,376.416
20:22.6,4f648fad-cad6-46f2-9c2a-268bb77ebbd9,Inbound_Queue,peer,998.166,383.048,612.118
20:37.1,597bddf4-8a4a-4349-af69-fd25a3e396a3,Inbound_Queue,peer,3258.06,27.34,3137.156
20:49.9,397cbba2-3e6a-41d8-84bb-bb4c8775bea0,Inbound_Queue,peer,2305.816,1277.851,1016.965
21:27.5,80fbca02-82b9-4150-a5b7-245cd4a32edb,Inbound_Queue,peer,876.321,0,696.321
21:50.4,70f68240-114b-419f-835e-33728e8e262f,Inbound_Queue,peer,1391.8,0,1377.8
22:10.1,d6e29412-dfdd-45c1-a597-29a960a5c5f8,Inbound_Queue,peer,1829.707,388.095,1261.612
22:51.0,6ddb2b56-0b3e-4a47-89f0-d49e23dcd237,Inbound_Queue,peer,1029.808,169.794,789.014
22:56.1,4ff996ef-9f41-4fc7-9894-333cd0364bcc,Inbound_Queue,peer,1088.925,0,908.925
23:19.7,ea63a7f4-000e-44c3-9a17-c94ba222767e,Inbound_Queue,transfer,407.35,0,227.35
23:29.2,c9167e6d-1661-460e-bca6-da35ecb2866d,Inbound_Queue,peer,2206.195,1319.875,706.32
23:56.6,7692606e-6ff5-4d86-9986-3eafe5513617,Inbound_Queue,peer,513.395,0,333.395
24:11.7,99154a69-2c6d-49b4-9778-d91b6cf6b66f,Inbound_Queue,client,52.666,0,45.701
24:27.8,a1f6fcd7-2e96-4af8-9c5d-047878b26aa4,Inbound_Queue,peer,1124.163,303.013,641.15
25:03.7,f3a9065d-c4e2-44a0-a93c-bb3495afe226,Inbound_Queue,peer,1710.928,676.705,854.223
25:08.7,0350e824-4af2-4216-90b4-0d6d6b37b894,Inbound_Queue,client,204.89,0,24.89
25:41.5,ffbaedee-9796-469c-89b4-fd22cec5fff7,Inbound_Queue,peer,91.769,0,49.067
26:05.0,1de5336c-7f42-4615-8c87-4ac11784ee8f,Inbound_Queue,transfer,460.862,0,330.862
26:12.3,8261bb15-26ea-48f4-b5e8-686de8c5ccea,Inbound_Queue,peer,2146.758,235.018,1908.956
